timestamp,x_acc,y_acc,z_acc
1540930899063,-0.16271193,0.18664017,9.5353985
1540930899080,-0.19621146,0.2536392,9.777073
1540930899091,-0.20578274,0.25603202,9.803394
1540930899102,-0.21296121,0.22013968,9.80818
1540930899122,-0.17467605,0.21296121,9.793823
1540930899138,-0.16031912,0.32542387,9.743574
1540930899153,-0.14356937,0.3589234,9.717253
1540930899170,-0.12203395,0.40438703,9.68136
1540930899180,-0.1052842,0.43070808,9.671789
1540930899193,-0.12921242,0.43070808,9.671789
1540930899212,-0.12921242,0.3804588,9.726824
1540930899223,-0.10767702,0.38285163,9.750752
1540930899233,-0.11246266,0.3804588,9.767502
1540930899253,-0.1794617,0.37806597,9.731609
1540930899268,-0.18424734,0.42592242,9.722038
1540930899283,-0.16749759,0.42592242,9.702896
1540930899303,-0.17228323,0.32303107,9.741181
1540930899322,-0.16510476,0.29910284,9.77468
1540930899341,-0.14356937,0.30867413,9.798609
1540930899352,-0.14117654,0.3062813,9.817751
1540930899362,-0.14596218,0.3278167,9.798609
1540930899372,-0.16271193,0.3684947,9.765109
1540930899382,-0.16510476,0.40677986,9.734002
1540930899392,-0.18664017,0.41156548,9.707682
1540930899402,-0.19381863,0.3684947,9.71486
1540930899421,-0.1698904,0.29910284,9.781859
1540930899432,-0.15314065,0.2727818,9.798609
1540930899442,-0.14356937,0.2632105,9.789038
1540930899461,-0.11724831,0.32303107,9.702896
1540930899472,-0.13160525,0.35653058,9.65504
1540930899482,-0.14356937,0.37328035,9.614362
1540930899492,-0.16031912,0.39720857,9.590433
1540930899502,-0.17467605,0.4019942,9.5665045
1540930899522,-0.18185452,0.29910284,9.525827
1540930899531,-0.19142582,0.23688944,9.497113
1540930899541,-0.2105684,0.20817557,9.482756
1540930899551,-0.20817557,0.2321038,9.442079
1540930899569,-0.20578274,0.29192436,9.286545
1540930899581,-0.21535404,0.29671,9.186047
1540930899591,-0.22253251,0.2727818,9.064013
1540930899601,-0.22731815,0.2440679,8.939586
1540930899621,-0.2847459,0.15792629,8.618947
1540930899639,-0.38763726,-0.014356935,8.073383
1540930899657,-0.49052864,-0.148355,7.34118
1540930899669,-0.4953143,-0.19381863,6.9726853
1540930899688,-0.51206404,-0.06699903,6.5635123
1540930899701,-0.4953143,-0.019142581,6.343373
1540930899711,-0.44027936,-0.0023928226,6.099305
1540930899721,-0.31345975,-0.043070808,5.9246287
1540930899731,-0.22731815,-0.16510476,5.9748783
1540930899749,-0.20817557,-0.54317075,6.3194447
1540930899760,-0.20817557,-0.6364908,6.7238317
1540930899771,-0.20338993,-0.701097,7.283752
1540930899788,-0.3278167,-0.80159557,8.384451
1540930899798,-0.41874397,-0.9092726,8.863015
1540930899809,-0.59342,-0.96430755,9.296116
