watch_sample,phone_sample,class,acc_similarity_2b,vel_similarity_2b,acc_similarity_3b,vel_similarity_3b
2018-10-20_7_,2018-10-20_7_,yes,0.6885714285714286,0.7755681818181818,0.36,0.4090909090909091
2018-10-20_7_,2018-10-20_8_,no,0.5909090909090909,0.577922077922078,0.2631578947368421,0.26666666666666666
2018-10-20_7_,2018-10-22_10,no,0.5404896421845574,0.5037878787878788,0.16929133858267717,0.19215686274509805
2018-10-20_7_,2018-10-22_11,no,0.5384615384615384,0.5650793650793651,0.1554054054054054,0.1360544217687075
2018-10-20_7_,2018-10-22_9_,no,0.5347826086956522,0.5718475073313783,0.17065868263473055,0.1697530864197531
2018-10-20_7_,2018-10-27_12,no,0.54421768707483,0.5595238095238095,0.1678082191780822,0.2195945945945946
2018-10-20_7_,2018-10-27_13,no,0.5306122448979592,0.5676767676767677,0.21367521367521367,0.20512820512820512
2018-10-20_7_,2018-10-27_14,no,0.5386904761904762,0.5535714285714286,0.17751479289940827,0.19161676646706588
2018-10-20_7_,2018-10-27_15,no,0.5279187817258884,0.5772151898734177,0.2268041237113402,0.18518518518518517
2018-10-20_7_,2018-10-27_16,no,0.5667215815485996,0.5490848585690515,0.18243243243243243,0.1423728813559322
2018-10-20_7_,2018-10-27_17,no,0.5463137996219282,0.5264150943396226,0.19318181818181818,0.12890625
2018-10-20_7_,2018-10-27_18,no,0.5755693581780539,0.592901878914405,0.19230769230769232,0.19148936170212766
2018-10-20_7_,2018-10-27_19,no,0.5360576923076923,0.5829383886255924,0.1932367149758454,0.17307692307692307
2018-10-20_7_,2018-10-27_20,no,0.5578034682080925,0.5677233429394812,0.19825072886297376,0.12650602409638553
2018-10-20_7_,2018-10-27_21,no,0.5485362095531587,0.5275229357798165,0.1757188498402556,0.13636363636363635
2018-10-20_7_,2018-10-27_22,no,0.5563380281690141,0.5848056537102474,0.1936619718309859,0.15734265734265734
2018-10-20_7_,2018-10-27_23,no,0.5452755905511811,0.5575396825396826,0.20553359683794467,0.13147410358565736
2018-10-20_7_,2018-10-27_24,no,0.54,0.5600558659217877,0.2057142857142857,0.16101694915254236
2018-10-20_8_,2018-10-20_7_,no,0.5779036827195467,0.5606936416184971,0.12571428571428572,0.16265060240963855
2018-10-20_8_,2018-10-20_8_,yes,0.5974025974025974,0.7727272727272727,0.4864864864864865,0.5616438356164384
2018-10-20_8_,2018-10-22_10,no,0.5632183908045977,0.5795454545454546,0.20717131474103587,0.17557251908396945
2018-10-20_8_,2018-10-22_11,no,0.5418006430868167,0.5700787401574803,0.23178807947019867,0.16883116883116883
2018-10-20_8_,2018-10-22_9_,no,0.5467625899280576,0.5256222547584187,0.16714697406340057,0.17008797653958943
