watch_sample,phone_sample,class,acc_similarity_2b,vel_similarity_2b,acc_similarity_3b,vel_similarity_3b
2018-10-30_10,2018-10-30_10,yes,0.5590277777777778,0.5664335664335665,0.16083916083916083,0.25
2018-10-30_10,2018-10-30_1_,no,0.549618320610687,0.5773584905660377,0.11904761904761904,0.1889763779527559
2018-10-30_10,2018-10-30_2_,no,0.5729166666666666,0.5861182519280206,0.19230769230769232,0.18333333333333332
2018-10-30_10,2018-10-30_3_,no,0.5424164524421594,0.6030927835051546,0.17582417582417584,0.17525773195876287
2018-10-30_10,2018-10-30_4_,no,0.5925925925925926,0.5923809523809523,0.17063492063492064,0.16393442622950818
2018-10-30_10,2018-10-30_5_,no,0.5543175487465181,0.6317280453257791,0.16853932584269662,0.12994350282485875
2018-10-30_10,2018-10-30_6_,no,0.5598194130925508,0.5413870246085011,0.17703349282296652,0.18181818181818182
2018-10-30_10,2018-10-30_7_,no,0.5884615384615385,0.5786407766990291,0.2701612903225806,0.16412213740458015
2018-10-30_10,2018-10-30_8_,no,0.5545454545454546,0.5383244206773619,0.18181818181818182,0.14942528735632185
2018-10-30_10,2018-10-30_9_,no,0.571992110453649,0.5688622754491018,0.1694915254237288,0.15748031496062992
2018-10-30_1_,2018-10-30_10,no,0.5915492957746479,0.5265017667844523,0.20567375886524822,0.176056338028169
2018-10-30_1_,2018-10-30_1_,yes,0.5019011406844106,0.5114503816793893,0.16279069767441862,0.16666666666666666
2018-10-30_1_,2018-10-30_2_,no,0.5485564304461942,0.5235602094240838,0.2222222222222222,0.21052631578947367
2018-10-30_1_,2018-10-30_3_,no,0.5578947368421052,0.5602094240837696,0.16230366492146597,0.14358974358974358
2018-10-30_1_,2018-10-30_4_,no,0.5512572533849129,0.5369649805447471,0.14754098360655737,0.18473895582329317
2018-10-30_1_,2018-10-30_5_,no,0.5495750708215298,0.5641025641025641,0.19662921348314608,0.19428571428571428
2018-10-30_1_,2018-10-30_6_,no,0.5950782997762863,0.5384615384615384,0.11004784688995216,0.1583710407239819
2018-10-30_1_,2018-10-30_7_,no,0.5733590733590733,0.5736434108527132,0.21862348178137653,0.25296442687747034
2018-10-30_1_,2018-10-30_8_,no,0.5629496402877698,0.5462794918330308,0.15708812260536398,0.18478260869565216
2018-10-30_1_,2018-10-30_9_,no,0.5708582834331337,0.5975855130784709,0.18072289156626506,0.21138211382113822
2018-10-30_2_,2018-10-30_10,no,0.5536332179930796,0.5958188153310104,0.13970588235294118,0.16058394160583941
2018-10-30_2_,2018-10-30_1_,no,0.6060606060606061,0.5263157894736842,0.2196969696969697,0.16666666666666666
2018-10-30_2_,2018-10-30_2_,yes,0.6041666666666666,0.5575916230366492,0.3333333333333333,0.2864583333333333
2018-10-30_2_,2018-10-30_3_,no,0.5658914728682171,0.5372750642673522,0.15760869565217392,0.14754098360655737
2018-10-30_2_,2018-10-30_4_,no,0.5836575875486382,0.5680933852140078,0.2178988326848249,0.21052631578947367
2018-10-30_2_,2018-10-30_5_,no,0.5698324022346368,0.5539772727272727,0.17365269461077845,0.1695906432748538
