timestamp,x_acc,y_acc,z_acc
1540916611846,0.10289137,0.3589234,9.757931
1540916611871,0.09092726,0.35174492,9.769895
1540916611882,0.086141616,0.4642076,9.729217
1540916611892,0.05742774,0.42831525,9.762716
1540916611902,0.062213387,0.42831525,9.781859
1540916611915,0.05742774,0.45224348,9.772287
1540916611933,0.09092726,0.41635114,9.789038
1540916611943,0.076570325,0.33738798,9.803394
1540916611964,0.02632105,0.36610186,9.796216
1540916611975,0.040677983,0.44985065,9.767502
1540916611996,0.062213387,0.5288138,9.707682
1540916612015,0.023928227,0.57427746,9.688539
1540916612025,0.019142581,0.4953143,9.695718
1540916612037,0.016749758,0.42831525,9.729217
1540916612055,0.019142581,0.4761717,9.690931
1540916612075,0.021535404,0.48095736,9.60479
1540916612091,0.047856454,0.37328035,9.645468
1540916612101,0.076570325,0.39720857,9.638289
1540916612111,0.08135597,0.43788654,9.662218
1540916612135,0.1052842,0.4642076,9.683753
1540916612153,0.08135597,0.41635114,9.722038
1540916612163,0.076570325,0.4331009,9.736395
1540916612173,0.09571291,0.41874397,9.762716
1540916612183,0.076570325,0.47856453,9.705289
1540916612193,0.06699903,0.4977071,9.667004
1540916612203,0.04546363,0.49052864,9.650253
1540916612213,0.02871387,0.46899325,9.669396
1540916612223,0.033499517,0.4331009,9.683753
1540916612233,0.02632105,0.44506502,9.7196455
1540916612243,0.050249275,0.4354937,9.767502
1540916612253,0.050249275,0.4139583,9.793823
1540916612272,0.07178468,0.4833502,9.812965
1540916612293,0.078963146,0.50488555,9.789038
1540916612304,0.069391854,0.49292147,9.779466
1540916612322,0.03589234,0.44027936,9.750752
1540916612332,0.038285162,0.45942193,9.757931
1540916612342,0.062213387,0.45702913,9.781859
1540916612352,0.06460621,0.4761717,9.769895
1540916612372,0.1052842,0.5168497,9.745967
1540916612382,0.078963146,0.4833502,9.745967
1540916612391,0.062213387,0.4953143,9.724431
1540916612410,0.08135597,0.5288138,9.650253
1540916612430,0.11006984,0.44506502,9.68136
1540916612449,0.10049855,0.40677986,9.686146
1540916612461,0.10767702,0.43788654,9.678967
1540916612471,0.13160525,0.4426722,9.667004
1540916612490,0.11246266,0.44985065,9.635897
1540916612501,0.11724831,0.47856453,9.623933
1540916612519,0.078963146,0.46899325,9.597611
