watch_sample,phone_sample,class,acc_similarity_2b,vel_similarity_2b,acc_similarity_3b,vel_similarity_3b
2018-10-30_11,2018-10-30_11,yes,0.5511221945137157,0.5989974937343359,0.2849740932642487,0.3316062176165803
2018-10-30_11,2018-10-30_12,no,0.5471380471380471,0.5980066445182725,0.2361111111111111,0.2376237623762376
2018-10-30_11,2018-10-30_13,no,0.5982142857142857,0.5607142857142857,0.21554770318021202,0.25
2018-10-30_11,2018-10-30_14,no,0.5527638190954773,0.5945273631840796,0.15897435897435896,0.17553191489361702
2018-10-30_11,2018-10-30_15,no,0.5475444096133751,0.603537981269511,0.20302375809935205,0.22103004291845493
2018-10-30_11,2018-10-30_16,no,0.527306967984934,0.5142314990512334,0.21653543307086615,0.12595419847328243
2018-10-30_11,2018-10-30_17,no,0.5653021442495126,0.5472061657032755,0.14285714285714285,0.17120622568093385
2018-10-30_11,2018-10-30_18,no,0.5464684014869888,0.5889908256880734,0.2126865671641791,0.17164179104477612
2018-10-30_11,2018-10-30_19,no,0.5881410256410257,0.5562700964630225,0.21782178217821782,0.20735785953177258
2018-10-30_11,2018-10-30_20,no,0.5614754098360656,0.6049382716049383,0.19491525423728814,0.20168067226890757
2018-10-30_12,2018-10-30_11,no,0.5402010050251256,0.5552763819095478,0.15979381443298968,0.19047619047619047
2018-10-30_12,2018-10-30_12,yes,0.563973063973064,0.5906040268456376,0.2751677852348993,0.34782608695652173
2018-10-30_12,2018-10-30_13,no,0.5774647887323944,0.6052631578947368,0.20279720279720279,0.2375886524822695
2018-10-30_12,2018-10-30_14,no,0.5518987341772152,0.5306122448979592,0.165,0.1958762886597938
2018-10-30_12,2018-10-30_15,no,0.5439330543933054,0.5445240532241555,0.19825708061002179,0.1762114537444934
2018-10-30_12,2018-10-30_16,no,0.5284090909090909,0.5639097744360902,0.2125984251968504,0.1862348178137652
2018-10-30_12,2018-10-30_17,no,0.566147859922179,0.5583657587548638,0.19844357976653695,0.20392156862745098
2018-10-30_12,2018-10-30_18,no,0.5528756957328386,0.5644283121597096,0.21839080459770116,0.22007722007722008
2018-10-30_12,2018-10-30_19,no,0.564873417721519,0.544,0.24745762711864408,0.19344262295081968
