timestamp,x_acc,y_acc,z_acc
1540928586001,-0.2440679,0.18185452,9.798609
1540928586018,-0.29671,0.124426775,9.805787
1540928586029,-0.32542387,0.14117654,9.805787
1540928586039,-0.33020952,0.2321038,9.803394
1540928586058,-0.3182454,0.35174492,9.743574
1540928586071,-0.27996024,0.3589234,9.688539
1540928586090,-0.32542387,0.37567315,9.712467
1540928586107,-0.46181476,0.23449662,9.695718
1540928586121,-0.50009996,0.27517462,9.662218
1540928586140,-0.47138608,0.4235296,9.614362
1540928586150,-0.4139583,0.41635114,9.602397
1540928586161,-0.39481574,0.42592242,9.619147
1540928586180,-0.3924229,0.47856453,9.611969
1540928586190,-0.3924229,0.40677986,9.611969
1540928586210,-0.42592242,0.2943172,9.645468
1540928586229,-0.42592242,0.2727818,9.645468
1540928586239,-0.43070808,0.2321038,9.671789
1540928586249,-0.43788654,0.28713873,9.664611
1540928586259,-0.41874397,0.3397808,9.702896
1540928586269,-0.4331009,0.35174492,9.710074
1540928586288,-0.45224348,0.39481574,9.678967
1540928586299,-0.44506502,0.3804588,9.669396
1540928586309,-0.41874397,0.35653058,9.614362
1540928586328,-0.4331009,0.28235307,9.530613
1540928586338,-0.44745782,0.27517462,9.509077
1540928586348,-0.4331009,0.30388847,9.475577
1540928586359,-0.37567315,0.3278167,9.449257
1540928586377,-0.37806597,0.26799613,9.41815
1540928586387,-0.3924229,0.2105684,9.370294
1540928586398,-0.4354937,0.13878371,9.305687
1540928586408,-0.47856453,0.1363909,9.257831
1540928586418,-0.48095736,0.13399807,9.200403
1540928586437,-0.4881358,0.083748795,9.018549
1540928586447,-0.51206404,0.014356935,8.874979
1540928586458,-0.55034924,-0.11964113,8.721839
1540928586468,-0.58624154,-0.23688944,8.5423765
1540928586486,-0.6652047,-0.2632105,8.224132
1540928586497,-0.6963114,-0.27996024,8.063812
1540928586507,-0.7322037,-0.33738798,7.9226356
1540928586517,-0.80877405,-0.43788654,7.8053875
1540928586536,-0.96430755,-0.61016977,7.5326056
1540928586547,-1.0360922,-0.567099,7.3698936
1540928586557,-0.99302137,-0.4977071,7.1952176
1540928586575,-0.6771688,-0.4977071,7.135397
1540928586585,-0.50009996,-0.52163535,7.281359
1540928586597,-0.34217364,-0.6149554,7.405786
1540928586616,-0.1698904,-0.62452674,7.7671022
1540928586635,-0.1363909,-0.83748794,8.2049885
1540928586646,-0.15314065,-0.89491564,8.506484
1540928586655,-0.21296121,-1.0313065,8.894122
1540928586667,-0.38285163,-1.0193424,9.171689
1540928586683,-0.6412765,-0.7848458,9.79143
1540928586695,-0.7728817,-0.5072784,9.853643
1540928586705,-0.8542377,-0.42592242,9.992428
1540928586723,-1.7204394,-0.078963146,9.870394
1540928586732,-2.4095724,0.8781659,12.1459675
1540928586744,-2.440679,1.5433706,14.378471
1540928586754,-2.6105695,1.3639089,16.189838
1540928586774,-1.8089739,0.8422736,17.11586
1540928586794,-0.3924229,-0.54317075,15.448063
1540928586804,-0.21774685,-0.9667004,14.031512
1540928586814,-0.29192436,-1.0313065,12.583855
1540928586824,-0.37567315,-0.70348984,11.322837
1540928586844,-0.019142581,0.39720857,9.731609
1540928586854,0.20578274,0.5240282,9.135797
1540928586865,0.1794617,0.45942193,8.743374
1540928586884,-0.5383851,0.4354937,8.626125
1540928586893,-0.8422736,0.3278167,8.693125
1540928586903,-0.9523434,0.148355,8.863015
1540928586913,-0.9954142,-0.02871387,9.0544405
1540928586923,-1.0456635,-0.18424734,9.260223
1540928586942,-1.1365907,-0.54317075,9.497113
1540928586952,-1.1246266,-0.69152576,9.667004
1540928586962,-1.0815558,-0.75613195,9.779466
1540928586979,-1.052842,-0.6843473,9.992428
1540928586989,-0.99302137,-0.6771688,9.97807
1540928586999,-0.97866446,-0.68195444,9.937392
1540928587011,-0.9379865,-0.6628119,9.946963
1540928587032,-0.8135597,-0.4881358,9.920643
1540928587052,-0.7178468,-0.37088752,9.789038
1540928587072,-0.74416786,-0.15314065,9.729217
1540928587092,-0.701097,-0.078963146,9.77468
1540928587111,-0.7585248,-0.19860429,9.743574
1540928587130,-0.7920243,-0.18903299,9.690931
1540928587141,-0.7848458,-0.2009971,9.729217
1540928587151,-0.8135597,-0.19621146,9.7196455
1540928587161,-0.8063812,-0.21774685,9.702896
1540928587180,-0.7920243,-0.22013968,9.678967
1540928587201,-0.8279166,-0.36610186,9.65504
1540928587219,-0.8135597,-0.36370903,9.6071825
1540928587230,-0.83988076,-0.31106696,9.559326
1540928587240,-0.8135597,-0.3493521,9.631111
1540928587256,-0.8853444,-0.3493521,9.77468
1540928587266,-0.863809,-0.2727818,9.844072
1540928587276,-0.89013004,-0.21774685,9.9038925
1540928587287,-0.8709874,-0.19860429,9.908679
1540928587296,-0.88295156,-0.21296121,9.88475
1540928587306,-0.91405827,-0.18664017,9.8632145
1540928587319,-0.89730847,-0.2105684,9.796216
1540928587331,-0.8781659,-0.22253251,9.745967
1540928587348,-0.8662018,-0.2632105,9.650253
1540928587360,-0.85902333,-0.3062813,9.592826
1540928587380,-0.88295156,-0.36370903,9.600004
1540928587400,-0.95473623,-0.27517462,9.616755
1540928587419,-0.849452,-0.16271193,9.741181
1540928587439,-0.8805587,-0.05503492,9.798609
1540928587459,-0.8997013,-0.12203395,9.695718
1540928587469,-0.8709874,-0.16510476,9.669396
1540928587485,-0.86141616,-0.17467605,9.686146
1540928587494,-0.86859465,-0.10767702,9.71486
1540928587504,-0.8853444,-0.06460621,9.707682
1540928587516,-0.8781659,-0.0071784677,9.736395
1540928587538,-0.8757731,0.023928227,9.887143
1540928587557,-0.930808,0.083748795,9.944571
1540928587576,-0.91884387,0.11006984,9.97807
1540928587596,-0.96430755,0.39720857,9.925428
1540928587616,-1.0911272,0.81595254,9.879965
1540928587625,-1.1581261,1.079163,9.786645
1540928587646,-1.0408778,1.3686945,9.844072
1540928587668,-1.1940185,1.713261,9.88475
1540928587685,-1.268196,1.875973,9.79143
1540928587697,-1.2418749,1.7228323,9.803394
1540928587712,-1.2466606,1.4117653,9.784252
1540928587732,-1.2705889,0.65084773,9.736395
1540928587745,-1.2969099,0.55513483,9.690931
1540928587765,-0.99302137,0.53359944,9.757931
1540928587784,-0.83030945,0.15314065,9.860822
1540928587804,-1.0480564,-0.6843473,9.879965
1540928587824,-1.052842,-0.82313097,9.6071825
1540928587843,-0.9284152,-0.83748794,9.377472
1540928587854,-0.9619147,-0.91166544,9.284152
1540928587873,-1.1533405,-1.0695918,9.169296
1540928587883,-1.1988041,-1.1509477,9.257831
1540928587893,-1.2514462,-1.3375878,9.363115
1540928587904,-1.3208381,-1.4955142,9.408579
1540928587921,-1.457229,-1.6917256,9.499506
1540928587930,-1.5194423,-1.7012969,9.552148
1540928587940,-1.550549,-1.6151553,9.556933
1540928587950,-1.5337993,-1.5026926,9.518648
1540928587960,-1.5098711,-1.3686945,9.449257
1540928587974,-1.4811572,-1.2107682,9.387043
1540928587989,-1.5840486,-0.89013004,9.281759
1540928587999,-1.6103697,-0.8327023,9.250652
